Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
2417 RAINBOW DR,CEDAR FALLS,IA,50613,42.51755,-92.4177,1,946651
1227 W 27TH ST,CEDAR FALLS,IA,50613,42.51326,-92.4974,0.6,946652
2417 RAINBOW DR,CEDAR FALLS,IA,50613,42.51755,-92.4177,1,946653
3909 ROWND ST,CEDAR FALLS,IA,50613,42.50302,-92.4223,1,946654
627 ORCHARD DR,CEDAR FALLS,IA,50613,42.50507,-92.4384,1,946655
245 S WASHINGTON ST,HUDSON,IA,50643,42.40003,-92.4551,1,1593427
316 MCCOY RD,ELK RUN HEIGHTS,IA,50707,42.46731,-92.2625,1,1593424
1138 CENTRAL AVE,EVANSDALE,IA,50707,42.46904,-92.2772,1,946600
1138 CENTRAL AVE,EVANSDALE,IA,50707,42.46904,-92.2772,1,946601
812 IDAHO ST,WATERLOO,IA,50701,42.49581,-92.3076,0.9,946602
225 COMMERCIAL ST,WATERLOO,IA,50701,42.49837,-92.3421,1,946603
2419 FERN AVE,CEDAR FALLS,IA,50613,42.5578,-92.4528,1,946606
1410 INDEPENDENCE AVE,WATERLOO,IA,50703,42.49653,-92.3054,1,946607
225 COMMERCIAL ST,WATERLOO,IA,50701,42.49837,-92.3421,1,946608
515 FILMORE ST,LAPORTE CITY,IA,50651,42.30796,-92.1893,1,1593428
616 HOLMES DR,CEDAR FALLS,IA,50613,42.53409,-92.4703,1,946609
2125 W LONE TREE ROAD,CEDAR FALLS,IA,50613,42.5634,-92.4718,1,946610
1239 SHELDON ST,WATERLOO,IA,50701,42.49628,-92.389,1,946611
3712 CEDAR HIGHS DR,WATERLOO,IA,50702,42.44112,-92.2829,0.4,946612
1115 W 5TH ST,WATERLOO,IA,50702,42.48629,-92.348,1,946613
1350 KATOSKI DR,WATERLOO,IA,50701,42.49434,-92.3991,1,946614
1239 SHELDON ST,WATERLOO,IA,50701,42.49628,-92.389,1,946615
312 RACHAEL ST,WATERLOO,IA,50701,42.46284,-92.3622,1,946616
5805 KIMBALL AVE,WATERLOO,IA,50701,42.43172,-92.3552,1,946617
1304 OREGON ST,WATERLOO,IA,50702,42.47205,-92.3338,1,946618
1304 OREGON ST,WATERLOO,IA,50702,42.47205,-92.3338,1,946619
2615 WASHINGTON ST,WATERLOO,IA,50702,42.47422,-92.3205,1,946620
5805 KIMBALL AVE,WATERLOO,IA,50701,42.43172,-92.3552,1,946621
312 RACHAEL ST.,WATERLOO,IA,50701,42.46284,-92.3622,1,946622
214 HIGH ST,WATERLOO,IA,50703,42.50198,-92.3291,1,946623
302 CEDAR BEND ST,WATERLOO,IA,50703,42.51941,-92.3636,1,946624
1516 WASHINGTON ST,WATERLOO,IA,50702,42.4852,-92.3337,1,946625
302 CEDAR BEND ST,WATERLOO,IA,50703,42.51941,-92.3636,1,946626
1350 KATOSKI DR,WATERLOO,IA,50701,42.49434,-92.3991,1,946627
1350 KATOSKI DR,WATERLOO,IA,50701,42.49434,-92.3991,1,946628
1410 INDEPENDENCE AVE,WATERLOO,IA,50703,42.49653,-92.3054,1,946629
214 HIGH ST,WATERLOO,IA,50703,42.50198,-92.3291,1,946630
225 COMMERCIAL ST,WATERLOO,IA,50703,42.49837,-92.3421,0.9,946631
1410 INDEPENDENCE AVE,WATERLOO,IA,50703,42.49653,-92.3054,1,946632
1224 MOBILE ST,WATERLOO,IA,50703,42.50915,-92.3218,1,946633
812 IDAHO ST,WATERLOO,IA,50703,42.49581,-92.3076,1,946634
201 SUNSET RD,WATERLOO,IA,50701,42.47934,-92.3622,1,946635
201 SUNSET RD,WATERLOO,IA,50701,42.47934,-92.3622,1,946636
1115 W 5TH ST,WATERLOO,IA,50702,42.48629,-92.348,1,946637
425 E RIDGEWAY AVE,WATERLOO,IA,50702,42.47124,-92.3521,1,946638
425 E RIDGEWAY AVE,WATERLOO,IA,50702,42.47124,-92.3521,1,946639
225 COMMERCIAL ST,WATERLOO,IA,50701,42.49837,-92.3421,1,946640
1640 1ST ST,BOONE,IA,50036,42.0565,-93.8657,1,946656
1125 HANCOCK DR,BOONE,IA,50036,42.04579,-93.8749,1,946657
500 7TH ST,BOONE,IA,50036,42.06173,-93.8876,1,946658
500 7TH ST,BOONE,IA,50036,42.06173,-93.8876,1,946659
1903 CRAWFORD ST,BOONE,IA,50036,42.07558,-93.8869,1,946660
7 LUTHER ST,LUTHER,IA,50152,41.93868,-93.8371,0.33,946661
599 N KENNEDY AVE,MADRID,IA,50157,41.88334,-93.8156,0.9,946662
599 N KENNEDY AVE,MADRID,IA,50157,41.88334,-93.8156,0.9,946663
313 W SYCAMORE ST,OGDEN,IA,50212,42.04158,-94.032,1,946664
599 N KENNEDY AVE,MADRID,IA,50157,41.88334,-93.8156,0.9,946665
599 N KENNEDY AVE,MADRID,IA,50157,41.88334,-93.8156,0.9,946666
34 CEDAR ST,WOODWARD,IA,50276,41.85469,-93.9208,0.1,946667
313 W SYCAMORE ST,OGDEN,IA,50212,42.04158,-94.032,1,946668
112 PILOT ST,PILOT MOUND,IA,50223,42.162,-94.0177,1,946669
1284 U AVE,BOONE,IA,50036,42.02528,-93.7767,1,946670
541 E EAGLE ST,DENVER,IA,50622,42.67039,-92.3315,1,946673
113 3RD ST,FREDERIKA,IA,50674,42.88305,-92.3052,0.9,946675
505 BARRICK RD,JANESVILLE,IA,50647,42.6496,-92.4598,1,946679
707 MAIN ST,PLAINFIELD,IA,50666,42.84677,-92.5372,1,1593429
200 E 4TH ST,READLYN,IA,50668,42.7037,-92.2246,1,1593430
802 W 6TH ST,SUMNER,IA,50674,42.85256,-92.1066,1,946681
110 1ST AVE SW,TRIPOLI,IA,50676,42.80833,-92.2592,1,1593431
221 15TH ST NW,WAVERLY,IA,50677,42.7275,-92.4887,1,946680
501 HERITAGE WAY,WAVERLY,IA,50677,42.7227,-92.4952,0.6,946682
501 HERITAGE WAY,WAVERLY,IA,50677,42.7227,-92.4952,0.6,946683
100 WARTBURG BLVD,WAVERLY,IA,50677,42.77478,-92.404,0.33,946684
1405 4TH AVE SW,WAVERLY,IA,50677,42.72158,-92.4873,1,946685
1405 4TH AVE SW,WAVERLY,IA,50677,42.72158,-92.4873,1,946686
401 WOODRUFF ST,AURORA,IA,50607,42.61895,-91.7294,1,946688
609 MAIN ST,BRANDON,IA,52210,42.3143,-92.0035,1,946689
1301 1ST ST W,INDEPENDENCE,IA,50644,42.46868,-91.9089,1,946690
111 3RD ST N,HAZELTON,IA,50641,42.61764,-91.9068,0.9,946691
1301 1ST ST W,INDEPENDENCE,IA,50644,42.46868,-91.9089,1,946692
1301 1ST ST W,INDEPENDENCE,IA,50644,42.46868,-91.9089,1,946693
1301 1ST ST W,INDEPENDENCE,IA,50644,42.46868,-91.9089,1,946694
1301 1ST ST W,INDEPENDENCE,IA,50644,42.46868,-91.9089,1,946695
1301 1ST ST W,INDEPENDENCE,IA,50644,42.46868,-91.9089,1,946696
531 PROSPECT ST,JESUP,IA,50648,42.47974,-92.0648,1,946697
113 WATER ST N,QUASQUETON,IA,52326,42.39485,-91.761,0.9,1593432
531 PROSPECT ST,JESUP,IA,50648,42.47974,-92.0648,1,946699
113 WATER ST N,QUASQUETON,IA,52326,42.39485,-91.761,0.9,946700
109 ELY ST,ROWLEY,IA,52329,42.37011,-91.8439,1,946701
414 5TH ST N,WINTHROP,IA,50682,42.47598,-91.7367,1,946702
300 ORCHARD ST,ALBERT CITY,IA,50510,42.78274,-94.9491,1,948219
1009 S. MAIN ST,ALTA,IA,51002,42.66552,-95.3042,1,948220
410 E. LAKESHORE DR,STORM LAKE,IA,50588,42.63595,-95.1968,1,948222
205 S. CLARK ST,NEWELL,IA,50568,42.60543,-94.9983,1,948224
4440 HWY 71,SIOUX RAPIDS,IA,50585,42.87612,-95.1506,1,1593433
930 E. 5TH ST.,STORM LAKE,IA,50588,42.64445,-95.1884,1,946703
410 E. LAKESHORE DR,STORM LAKE,IA,50588,42.63595,-95.1968,1,946704
617 LAKE AVE,STORM LAKE,IA,50588,42.6446,-95.2007,1,946705
610 W 4TH ST,STORM LAKE,IA,50588,42.64239,-95.2097,1,946706
215 E. 5TH ST,STORM LAKE,IA,50588,42.6445,-95.1992,1,948227
202 W. SOUTH ST.,GREENE,IA,50636,42.89092,-92.807,0.7,1593434
318 N MATHER ST,CLARKSVILLE,IA,50619,42.78211,-92.6667,0.7,1593435
508 MAIN ST.,DUMONT,IA,50625,42.74921,-92.9732,0.9,1593436
412 3RD ST.,ALLISON,IA,50602,42.75297,-92.7931,1,1593437
929 PARIOTT ST.,APLINGTON,IA,50604,42.58384,-92.8834,1,1593438
214 N. CHERRY ST,SHELL ROCK,IA,50670,42.71245,-92.5808,0.9,1593439
110 COLFAX ST.,PARKERSBURG,IA,50665,42.57455,-92.7904,0.6,1593440
508 BEAVER ST,NEW HARTFORD,IA,50660,42.56937,-92.6196,0.9,1593441
109 S ONTARIO ST.,POMEROY,IA,50575,42.55012,-94.6839,1,948228
709 W MAIN ST,LAKE CITY,IA,51449,42.26727,-94.7424,1,948230
605 2ND ST.,LOHRVILLE,IA,51453,42.27007,-94.5483,1,948229
416 4TH ST,ROCKWELL CITY,IA,50579,42.39521,-94.6347,1,948231
1601 15TH AVE,MANSON,IA,50563,42.53493,-94.53,0.6,948232
1601 15TH AVE,MANSON,IA,50563,42.53493,-94.53,0.6,948234
605 2ND ST.,LOHRVILLE,IA,51453,42.27007,-94.5483,1,948235
416 4TH ST,ROCKWELL CITY,IA,50579,42.39521,-94.6347,1,948236
416 4TH ST,ROCKWELL CITY,IA,50579,42.39521,-94.6347,1,948237
605 2ND ST.,LOHRVILLE,IA,51453,42.27007,-94.5483,1,948238
210 W. HEAD ST.,ARCADIA,IA,51430,42.08799,-95.0451,1,946725
22676 SWAN LAKE TRAIL,CARROLL,IA,51401,42.03405,-94.8488,0.6,946720
2809 N GRANT RD,CARROLL,IA,51401,42.09175,-94.8593,1,946721
1026 N ADAMS ST,CARROLL,IA,51401,42.07127,-94.8661,1,946722
1621 NORTH MAIN ST,CARROLL,IA,51401,42.07651,-94.8642,1,946719
230 S 5TH AVE,TEMPLETON,IA,51463,41.9207,-94.9459,0.4,946730
806 2ND ST,MANNING,IA,51455,41.91001,-95.0659,1,946729
110 S IDAHO ST,GLIDDEN,IA,51443,42.05541,-94.7287,1,946726
230 S. 5TH AVE,TEMPLETON,IA,51463,41.9207,-94.9459,0.4,946728
MAIN STREET,LIDDERDALE,IA,51452,42.12172,-94.7831,0.9,946724
123 3RD AVENUE S,COON RAPIDS,IA,50058,41.87051,-94.6748,1,946731
105 W 2ND ST,HALBUR,IA,51444,42.18241,-94.9769,0.6,946727
208 MAIN ST,BREDA,IA,51436,42.18166,-94.9777,1,946723
1201 E 14TH ST,ATLANTIC,IA,50022,41.39654,-94.9965,1,946732
1201 E 14TH ST,ATLANTIC,IA,50022,41.39654,-94.9965,1,946733
1201 E 14TH ST,ATLANTIC,IA,50022,41.39654,-94.9965,1,946734
1201 E 14TH ST,ATLANTIC,IA,50022,41.39654,-94.9965,1,946735
1201 E 14TH ST,ATLANTIC,IA,50022,41.39654,-94.9965,1,946736
311 MARKET,LEWIS,IA,51544,41.30375,-95.0883,0.6,946738
311 MARKET ST,WIOTA,IA,50274,41.30375,-95.0883,0.5,946737
1201 E 14TH ST,ATLANTIC,IA,50022,41.39654,-94.9965,1,946740
207 E 6TH ST,MASSENA,IA,50853,41.25671,-94.7673,1,946744
1000 VICTORY PARK RD,ANITA,IA,50020,41.45119,-94.7729,0.6,946739
207 E 6TH ST,MASSENA,IA,50853,41.25671,-94.7673,1,946741
20 MADISON ST,GRISWOLD,IA,51535,41.24043,-95.1371,1,946742
207 E 6TH ST,MASSENA,IA,50853,41.25671,-94.7673,1,946743
400 E. 6TH ST.,TIPTON,IA,52772,41.7712,-91.1244,1,946745
400 BALL ST.,CLARENCE,IA,52216,41.88515,-91.0579,1,946746
408 7TH ST.,DURANT,IA,52747,41.60345,-90.9128,1,946747
102 E. NORTH ST.,STANWOOD,IA,52337,41.89418,-91.1507,0.9,946748
900 W. MAIN ST.,WEST BRANCH,IA,52358,41.67144,-91.3614,0.9,946749
300 CEDAR ST.,BENNETT,IA,52721,41.74235,-90.9758,0.6,946750
102 N. JOHN ST.,MECHANICSVILLE,IA,52306,41.90461,-91.2543,1,946751
703 PARK AVE.,LOWDEN,IA,52255,41.85654,-90.9665,0.33,946752
400 E. 6TH ST.,TIPTON,IA,52772,41.7712,-91.1244,1,946753
400 E. 6TH ST.,TIPTON,IA,52772,41.7712,-91.1244,1,946754
400 E. 6TH ST.,TIPTON,IA,52772,41.7712,-91.1244,1,946755
900 W. MAIN ST.,WEST BRANCH,IA,52358,41.67144,-91.3614,0.9,1593442
4 N WEIMER ST,VENTURA,IA,50482,43.12621,-93.4793,0.8,946756
901 S 14TH ST,CLEAR LAKE,IA,50401,43.13843,-93.1812,0.9,946757
901 S 14TH ST,CLEAR LAKE,IA,50428,43.12731,-93.3712,1,946758
901 S 14TH ST,CLEAR LAKE,IA,50428,43.12731,-93.3712,1,946759
616 BROAD ST,PLYMOUTH,IA,50464,43.24523,-93.1237,1,946761
3 NOTTINGHAM ST,ROCK FALLS,IA,50467,43.20748,-93.0832,1,946762
210 2ND ST S,ROCKWELL,IA,50469,42.98364,-93.1917,1,946765
719 1ST ST,MESERVEY,IA,50457,42.91547,-93.4785,1,946764
412 MAIN ST,THORNTON,IA,50479,42.9438,-93.3845,1,946763
9184 265TH ST,CLEAR LAKE,IA,50428,43.15054,-93.3355,1,946766
3501 LIME CREEK RD,MASON CITY,IA,50401,43.18231,-93.1947,1,1593443
1239 N RHODE ISLAND AVE,MASON CITY,IA,50401,43.1633,-93.184,1,946767
1239 N RHODE ISLAND AVE,MASON CITY,IA,50401,43.1633,-93.184,1,946768
1421 4TH ST SE,MASON CITY,IA,50401,43.14792,-93.1731,1,946769
1123 8TH ST NW,MASON CITY,IA,50401,43.15841,-93.2185,1,946770
1123 8TH ST NW,MASON CITY,IA,50401,43.15841,-93.2185,1,946771
100 S PIERCE AVE,MASON CITY,IA,50401,43.15071,-93.2219,1,946772
500 COLLEGE DR.,MASON CITY,IA,50401,43.15663,-93.1354,1,946773
500 COLLEGE DR.,MASON CITY,IA,50401,43.15663,-93.1354,1,946774
500 COLLEGE DR.,MASON CITY,IA,50401,43.15663,-93.1354,1,946775
313 15TH ST SE,MASON CITY,IA,50401,43.13712,-93.1935,1,946776
1625 S PENNSYLVANIA AVE,MASON CITY,IA,50401,43.1355,-93.1983,1,946777
1625 S PENNSYLVANIA AVE,MASON CITY,IA,50401,43.1355,-93.1983,1,946778
500 COLLEGE DRIVE,MASON CITY,IA,50401,43.15663,-93.1354,1,1593444
333 MAIN ST,THORNTON,IA,50479,42.94332,-93.3832,1,946780
81 E PATRICK ST,DOUGHTERY,IA,50433,42.92164,-93.0412,1,1593445
300 ASH ST.,AURELIA,IA,51005,42.71461,-95.4287,1,948239
102 W GRACE AVE,CLEGHORN,IA,51014,42.81306,-95.7129,1,948240
100 MAIN ST,QUIMBY,IA,51049,42.62926,-95.642,0.9,948241
600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,948242
600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,946782
600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,946783
600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,946784
102 W GRACE AVE,CLEGHORN,IA,51014,42.81306,-95.7129,1,#N/A
612 GREELEY ST,NASHUA,IA,50658,42.94918,-92.5402,1,946785
301 W MAIN ST,IONIA,IA,50645,43.03392,-92.4584,1,946786
701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946794
701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946791
701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946793
701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946792
701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946787
701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946788
300 E MAIN ST,FREDERICKSBURG,IA,50630,42.96498,-92.2035,0.9,946789
414 EAST GROVE,LAWLER,IA,52154,43.06943,-92.1497,1,946790
701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946795
414 EAST GROVE,LAWLER,IA,52154,43.06943,-92.1497,1,946796
203 S WHITE AVE,ALTA VISTA,IA,50603,43.19781,-92.417,1,#N/A
800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,1593446
216 SHERMAN ST.,MURRAY,IA,50174,41.03896,-93.9537,1,946798
800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,1593447
800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946800
800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946801
800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946802
800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946804
302 MAIN ST,PETERSON,IA,51047,42.91969,-95.3436,1,946805
306 CHURCH ST,WEBB,IA,51366,42.94892,-95.0131,1,946806
100 MAIN ST.,DICKENS,IA,51333,43.13176,-95.0238,1,946807
302 MAIN ST,ROYAL,IA,51357,43.06461,-95.2859,1,946809
221 RAILWAY ST,GILLETT GROVE,IA,51341,43.01619,-95.0381,1,946808
800 E 3RD ST,SPENCER,IA,51301,43.1407,-95.134,1,946812
23 E 7TH ST A,SPENCER,IA,51301,43.14369,-95.1437,1,946813
1400 10TH AVE E,SPENCER,IA,51301,43.1523,-95.1311,1,946814
724 W 9TH ST,SPENCER,IA,51301,43.14645,-95.1568,1,946815
615 4TH AVE SW,SPENCER,IA,51301,43.13162,-95.1506,1,946816
1508 5TH AVE E,SPENCER,IA,51301,43.15319,-95.1385,1,1593448
203 N MAIN ST,EVERLY,IA,51338,43.15964,-95.3274,1,946817
1400 N 2ND ST,ELKADER,IA,52043,42.85859,-91.4186,0.9,948243
239 MAIN ST,NORTH BUENA VISTA,IA,52066,42.68341,-90.9514,1,946818
401 COMMERCIAL ST,STRAWBERRY POINT,IA,52076,42.68094,-91.5351,0.6,946819
106 W NIAGRA ST,GARNAVILLO,IA,52049,42.86745,-91.2366,1,948245
700 WASHINGTON ST,VOLGA,IA,52077,42.80071,-91.541,1,948244
120 MAIN ST,ELKPORT,IA,52044,42.74035,-91.2795,1,948246
105 S MAIN ST,ST OLAF,IA,52072,42.92737,-91.3869,1,948247
104 S EGBERT ST,MONONA,IA,52159,43.05191,-91.3888,1,948248
14734 AGATE RD,ELGIN,IA,52141,42.96433,-91.5137,1,946820
502 S 1ST ST,GUTTENBERG,IA,52052,42.78043,-91.0964,1,948249
201 W MADISON ST,EDGEWOOD,IA,52042,42.64521,-91.4024,1,946821
14734 AGATE RD,ELGIN,IA,52141,42.96433,-91.5137,1,946822
102 NORTH ST,MARQUETTE,IA,52158,43.04514,-91.1781,1,948250
210 S MAIN ST,ELKADER,IA,52043,42.85263,-91.4026,1,946823
311 DELMAR AVE.,DELMAR,IA,52037,42.00243,-90.6058,1,1593449
937 6TH AVE.,COMANCHE,IA,52730,41.78942,-90.2563,0.9,946826
937 6TH AVE.,COMANCHE,IA,52730,41.78942,-90.2563,0.9,946827
1450 370TH AVE.,GOOSE LAKE,IA,52750,41.96554,-90.3738,1,946829
306 8TH AVE.,CLINTON,IA,52732,41.83791,-90.1908,0.9,946830
1951 MANUFACTURING DR.,CLINTON,IA,52732,41.82602,-90.2357,1,946831
720 4TH AVE. S,CLINTON,IA,52732,41.8424,-90.2042,1,946832
1000 LINCOLN BLVD.,CLINTON,IA,52732,41.83388,-90.2138,1,946833
1900 N. 3RD ST.,CLINTON,IA,52732,41.86685,-90.1846,1,946834
1401 12TH AVE. N,CLINTON,IA,52732,41.85861,-90.2193,1,946835
1350 MAIN AVE.,CLINTON,IA,52732,41.874,-90.1964,1,946836
1350 14TH ST. NW,CLINTON,IA,52732,41.83136,-90.2188,0.9,946837
1450 370TH AVE.,GOOSE LAKE,IA,52750,41.96554,-90.3738,1,1593450
519 E. 11TH ST.,DEWITT,IA,52742,41.8263,-90.5251,1,946839
519 E. 11TH ST.,DEWITT,IA,52742,41.8263,-90.5251,1,946840
519 E. 11TH ST.,DEWITT,IA,52742,41.8263,-90.5251,1,946841
937 6TH AVE.,CAMANCHE,IA,52730,41.78924,-90.2565,1,1593451
1450 370TH AVE.,GOOSE LAKE,IA,52750,41.96554,-90.3738,1,1593452
110 E. PARK RD.,WHEATLAND,IA,52777,41.83697,-90.8386,1,1593453
323 3RD AVE.,LOW MOOR,IA,52757,41.80132,-90.3575,0.1,1593454
80 2ND ST.,CALAMUS,IA,52729,41.82561,-90.7588,0.6,1593455
510 SMITH ST.,GRAND MOUND,IA,52751,41.82318,-90.6479,1,1593456
410 MAIN ST,LOST NATION,IA,52254,41.96302,-90.8181,1,1593457
110 E. PARK RD.,WHEATLAND,IA,52777,41.83697,-90.8386,1,1593458
1450 370TH AVE.,GOOSE LAKE,IA,52750,41.96554,-90.3738,1,1593459
100 MAIN ST,WELTON,IA,52774,41.90486,-90.5941,1,1593460
321 MAIN ST.,CHARTER OAK,IA,51439,42.06564,-95.5912,1,946857
212 N SCHOOL ST,DOW CITY,IA,51528,41.9306,-95.4935,1,1593462
819 N 16TH ST,DENISON,IA,51442,42.02637,-95.3487,1,946858
819 N 16TH ST,DENISON,IA,51442,42.02637,-95.3487,1,946859
819 N 16TH ST,DENISON,IA,51442,42.02637,-95.3487,1,1593461
215 MAIN ST,VAIL,IA,51465,42.06691,-95.5912,0.8,1593463
541 MAIN ST.,MANILLA,IA,51454,41.88983,-95.2319,1,1593464
714 DATE ST.,SCHLESWIG,IA,51461,42.16433,-95.4292,1,1593465
23932 MEADOW RD,ADEL,IA,50003,41.59978,-94.0146,1,1593466
801 NILE KINNICK DR,ADEL,IA,50003,41.61045,-94.0167,1,1593467
